order_no,sku_code,qty_planned,due_date,priority,status,machine_code
PO-2026-4127,AB-RNP-1200-WH,1500,2026-08-29,normal,planned,MC-02
PO-2026-4128,AB-ARN-1200-GD,1800,2026-08-29,normal,planned,MC-02
PO-2026-4129,AB-STD-0900-WH,1800,2026-08-04,normal,completed,MC-03
PO-2026-4130,AB-STD-0900-WH,1500,2026-08-06,normal,completed,MC-03
PO-2026-4131,AB-EFA-1400-WH,3000,2026-08-06,high,completed,MC-03
PO-2026-4132,AB-ARN-1200-GD,3000,2026-08-11,normal,completed,MC-03
PO-2026-4133,AB-EFA-1400-WH,2600,2026-08-11,high,completed,MC-03
PO-2026-4134,AB-RNS-1200-BR,1500,2026-08-14,normal,completed,MC-03
PO-2026-4135,AB-RNS-1200-WH,2600,2026-08-16,high,completed,MC-03
PO-2026-4136,AB-EFA-1400-WH,2000,2026-08-16,normal,completed,MC-03
PO-2026-4137,AB-RNS-1200-BR,900,2026-08-20,normal,in_progress,MC-03
PO-2026-4138,AB-RNP-1200-WH,1200,2026-08-29,high,planned,MC-03
PO-2026-4139,AB-ARN-1200-GD,1800,2026-08-21,normal,planned,MC-03
PO-2026-4140,AB-EFA-1400-WH,2000,2026-08-26,normal,planned,MC-03
PO-2026-4141,AB-EFC-1200-WH,2000,2026-08-19,normal,planned,MC-03
PO-2026-4142,AB-EFC-1200-WH,1800,2026-08-28,high,planned,MC-03
PO-2026-4143,AB-STD-0900-WH,1500,2026-08-04,normal,completed,MC-04
PO-2026-4144,AB-EFC-1200-BK,3000,2026-08-06,normal,completed,MC-04
PO-2026-4145,AB-EFC-1200-BK,1500,2026-08-07,low,completed,MC-04
PO-2026-4146,AB-RNS-1200-WH,1500,2026-08-10,high,completed,MC-04
PO-2026-4147,AB-STD-0900-WH,2600,2026-08-11,normal,completed,MC-04
PO-2026-4148,AB-RNP-1200-WH,3000,2026-08-10,normal,completed,MC-04
PO-2026-4149,AB-EFC-1200-WH,1200,2026-08-14,normal,completed,MC-04
PO-2026-4150,AB-RNP-1200-WH,1800,2026-08-13,normal,completed,MC-04
PO-2026-4151,AB-EFC-1200-BK,2000,2026-08-16,normal,completed,MC-04
PO-2026-4152,AB-EFC-1200-WH,2600,2026-08-15,normal,completed,MC-04
PO-2026-4153,AB-STD-0900-WH,2400,2026-08-18,normal,completed,MC-04
PO-2026-4154,AB-EFC-1200-WH,2600,2026-08-19,high,in_progress,MC-04
PO-2026-4155,AB-RNS-1200-BR,1800,2026-08-23,normal,planned,MC-04
PO-2026-4156,AB-ARN-1200-GD,2600,2026-08-22,normal,planned,MC-04
PO-2026-4157,AB-EFC-1200-WH,3000,2026-08-22,low,planned,
PO-2026-4158,AB-RNS-1200-WH,2400,2026-08-28,normal,planned,
PO-2026-4159,AB-ARN-1200-GD,2400,2026-08-19,high,planned,
PO-2026-4160,AB-STD-0900-WH,3000,2026-08-25,high,planned,
PO-2026-4161,AB-RNS-1200-WH,3000,2026-08-24,low,planned,
PO-2026-4162,AB-RNS-1200-WH,2400,2026-08-18,normal,planned,
PO-2026-4163,AB-EFA-1400-WH,3000,2026-08-21,normal,planned,
PO-2026-4164,AB-EFA-1400-WH,1500,2026-08-23,normal,planned,
PO-2026-4165,AB-STD-0900-WH,3000,2026-08-24,normal,planned,
PO-2026-4166,AB-EFC-1200-WH,1200,2026-08-29,low,planned,
PO-2026-4167,AB-ARN-1200-GD,1200,2026-08-27,high,planned,
PO-2026-4168,AB-RNS-1200-BR,3000,2026-08-20,normal,planned,
