downtime_id,machine_code,started_at,ended_at,reason_code,note
DT-9090,MC-02,2026-08-04T06:06:00,2026-08-04T06:20:00,DT-PMT,Torque gun calibration
DT-9009,MC-01,2026-08-04T06:37:00,2026-08-04T06:51:00,DT-BRK,Handover break
DT-9241,MC-04,2026-08-04T07:09:00,2026-08-04T07:52:00,DT-CHG,Product changeover
DT-9091,MC-02,2026-08-04T07:35:00,2026-08-04T08:13:00,DT-PWR,DG changeover
DT-9010,MC-01,2026-08-04T08:38:00,2026-08-04T08:49:00,DT-PCB,Firmware flash failures
DT-9165,MC-03,2026-08-04T10:10:00,2026-08-04T11:31:00,DT-MTR,Winding resistance fail
DT-9011,MC-01,2026-08-04T11:13:00,2026-08-04T11:50:00,DT-PMT,Conveyor lubrication
DT-9012,MC-01,2026-08-04T12:30:00,2026-08-04T13:02:00,DT-BRK,Tea break
DT-9166,MC-03,2026-08-04T13:08:00,2026-08-04T13:21:00,DT-QAL,Awaiting inspection sign-off
DT-9092,MC-02,2026-08-04T14:24:00,2026-08-04T14:47:00,DT-PWR,DG changeover
DT-9242,MC-04,2026-08-04T15:07:00,2026-08-04T15:25:00,DT-PMT,Weekly PM
DT-9013,MC-01,2026-08-04T15:09:00,2026-08-04T15:42:00,DT-PMT,Weekly PM
DT-9167,MC-03,2026-08-04T15:13:00,2026-08-04T15:53:00,DT-PWR,DG changeover
DT-9093,MC-02,2026-08-04T15:14:00,2026-08-04T16:44:00,DT-MTR,Motor RPM out of band
DT-9168,MC-03,2026-08-04T16:57:00,2026-08-04T17:10:00,DT-PWR,DG changeover
DT-9243,MC-04,2026-08-04T18:34:00,2026-08-04T18:45:00,DT-PCB,PCB connector fault
DT-9094,MC-02,2026-08-04T18:57:00,2026-08-04T19:41:00,DT-PMT,Weekly PM
DT-9014,MC-01,2026-08-04T20:09:00,2026-08-04T20:22:00,DT-BLD,Blade balancing fault
DT-9244,MC-04,2026-08-04T20:12:00,2026-08-04T20:22:00,DT-PCB,Firmware flash failures
DT-9015,MC-01,2026-08-04T21:33:00,2026-08-04T21:50:00,DT-PMT,Torque gun calibration
DT-9016,MC-01,2026-08-05T07:14:00,2026-08-05T07:57:00,DT-PMT,Conveyor lubrication
DT-9095,MC-02,2026-08-05T07:33:00,2026-08-05T08:13:00,DT-PMT,Weekly PM
DT-9245,MC-04,2026-08-05T07:34:00,2026-08-05T07:55:00,DT-BRK,Tea break
DT-9096,MC-02,2026-08-05T09:19:00,2026-08-05T10:32:00,DT-QAL,Sample audit in progress
DT-9246,MC-04,2026-08-05T09:39:00,2026-08-05T09:44:00,DT-PWR,Feeder trip
DT-9247,MC-04,2026-08-05T09:44:00,2026-08-05T10:21:00,DT-QAL,Awaiting inspection sign-off
DT-9169,MC-03,2026-08-05T10:20:00,2026-08-05T10:58:00,DT-QAL,Awaiting inspection sign-off
DT-9097,MC-02,2026-08-05T10:52:00,2026-08-05T11:55:00,DT-BLD,Blade pitch out of tolerance
DT-9170,MC-03,2026-08-05T12:30:00,2026-08-05T13:22:00,DT-PWR,DG changeover
DT-9017,MC-01,2026-08-05T13:06:00,2026-08-05T13:39:00,DT-PMT,Weekly PM
DT-9018,MC-01,2026-08-05T13:54:00,2026-08-05T14:08:00,DT-QAL,Awaiting inspection sign-off
DT-9248,MC-04,2026-08-05T14:02:00,2026-08-05T14:30:00,DT-PWR,Feeder trip
DT-9249,MC-04,2026-08-05T14:45:00,2026-08-05T15:04:00,DT-CHG,Product changeover
DT-9250,MC-04,2026-08-05T15:44:00,2026-08-05T16:21:00,DT-BRK,Shift break
DT-9098,MC-02,2026-08-05T17:07:00,2026-08-05T17:13:00,DT-QAL,Awaiting inspection sign-off
DT-9019,MC-01,2026-08-05T17:46:00,2026-08-05T17:54:00,DT-PCB,Firmware flash failures
DT-9171,MC-03,2026-08-05T18:38:00,2026-08-05T18:51:00,DT-PCB,PCB connector fault
DT-9020,MC-01,2026-08-05T18:44:00,2026-08-05T18:53:00,DT-MTR,Motor RPM out of band
DT-9099,MC-02,2026-08-05T19:59:00,2026-08-05T20:22:00,DT-MAT,Canopy stock out
DT-9100,MC-02,2026-08-06T07:00:00,2026-08-06T07:31:00,DT-MAT,Motor stator shortage
DT-9172,MC-03,2026-08-06T07:49:00,2026-08-06T07:57:00,DT-PCB,Firmware flash failures
DT-9021,MC-01,2026-08-06T08:48:00,2026-08-06T09:25:00,DT-CHG,Machine reset for changeover
DT-9101,MC-02,2026-08-06T10:38:00,2026-08-06T10:47:00,DT-PCB,Controller PCB reject batch
DT-9173,MC-03,2026-08-06T10:42:00,2026-08-06T11:20:00,DT-OPR,Operator shortage
DT-9251,MC-04,2026-08-06T11:11:00,2026-08-06T11:28:00,DT-CHG,Fixture swap for new model
DT-9252,MC-04,2026-08-06T12:21:00,2026-08-06T12:35:00,DT-PMT,Weekly PM
DT-9174,MC-03,2026-08-06T12:53:00,2026-08-06T13:04:00,DT-PCB,PCB connector fault
DT-9175,MC-03,2026-08-06T13:07:00,2026-08-06T13:23:00,DT-PMT,Torque gun calibration
DT-9253,MC-04,2026-08-06T13:20:00,2026-08-06T14:50:00,DT-OPR,Absenteeism
DT-9176,MC-03,2026-08-06T14:10:00,2026-08-06T14:30:00,DT-BRK,Tea break
DT-9102,MC-02,2026-08-06T14:26:00,2026-08-06T14:37:00,DT-BLD,Blade pitch out of tolerance
DT-9103,MC-02,2026-08-06T14:46:00,2026-08-06T15:26:00,DT-PMT,Weekly PM
DT-9254,MC-04,2026-08-06T15:17:00,2026-08-06T15:39:00,DT-CHG,Machine reset for changeover
DT-9177,MC-03,2026-08-06T16:32:00,2026-08-06T17:46:00,DT-MTR,Motor RPM out of band
DT-9255,MC-04,2026-08-06T16:40:00,2026-08-06T17:16:00,DT-QAL,Sample audit in progress
DT-9104,MC-02,2026-08-06T16:42:00,2026-08-06T17:15:00,DT-BRK,Handover break
DT-9022,MC-01,2026-08-06T16:50:00,2026-08-06T18:15:00,DT-BLD,Rework: blade seating
DT-9105,MC-02,2026-08-06T19:01:00,2026-08-06T19:43:00,DT-BRK,Tea break
DT-9023,MC-01,2026-08-06T19:24:00,2026-08-06T19:59:00,DT-CHG,Machine reset for changeover
DT-9178,MC-03,2026-08-06T20:57:00,2026-08-06T21:37:00,DT-BRK,Tea break
DT-9024,MC-01,2026-08-06T21:06:00,2026-08-06T21:21:00,DT-BLD,Blade pitch out of tolerance
DT-9025,MC-01,2026-08-07T07:27:00,2026-08-07T07:40:00,DT-MAT,Motor stator shortage
DT-9106,MC-02,2026-08-07T08:40:00,2026-08-07T09:08:00,DT-CHG,Machine reset for changeover
DT-9179,MC-03,2026-08-07T09:16:00,2026-08-07T09:51:00,DT-PCB,Controller PCB reject batch
DT-9107,MC-02,2026-08-07T09:30:00,2026-08-07T09:54:00,DT-PMT,Conveyor lubrication
DT-9180,MC-03,2026-08-07T10:39:00,2026-08-07T11:03:00,DT-PCB,Controller PCB reject batch
DT-9181,MC-03,2026-08-07T11:37:00,2026-08-07T12:16:00,DT-PMT,Torque gun calibration
DT-9256,MC-04,2026-08-07T12:58:00,2026-08-07T13:34:00,DT-BLD,Blade pitch out of tolerance
DT-9026,MC-01,2026-08-07T13:02:00,2026-08-07T13:22:00,DT-MTR,Winding resistance fail
DT-9108,MC-02,2026-08-07T15:00:00,2026-08-07T15:31:00,DT-PMT,Torque gun calibration
DT-9027,MC-01,2026-08-07T15:27:00,2026-08-07T15:47:00,DT-PMT,Torque gun calibration
DT-9257,MC-04,2026-08-07T15:41:00,2026-08-07T16:13:00,DT-PMT,Conveyor lubrication
DT-9258,MC-04,2026-08-07T16:47:00,2026-08-07T17:01:00,DT-PCB,PCB connector fault
DT-9028,MC-01,2026-08-07T17:11:00,2026-08-07T17:39:00,DT-CHG,Machine reset for changeover
DT-9259,MC-04,2026-08-07T17:49:00,2026-08-07T19:17:00,DT-MAT,Motor stator shortage
DT-9182,MC-03,2026-08-07T18:15:00,2026-08-07T18:36:00,DT-PMT,Weekly PM
DT-9109,MC-02,2026-08-07T20:24:00,2026-08-07T20:39:00,DT-BLD,Blade balancing fault
DT-9110,MC-02,2026-08-07T20:46:00,2026-08-07T21:01:00,DT-MAT,Motor stator shortage
DT-9029,MC-01,2026-08-08T07:04:00,2026-08-08T07:12:00,DT-PWR,DG changeover
DT-9111,MC-02,2026-08-08T07:04:00,2026-08-08T07:17:00,DT-PWR,DG changeover
DT-9030,MC-01,2026-08-08T07:36:00,2026-08-08T07:49:00,DT-OPR,Absenteeism
DT-9183,MC-03,2026-08-08T08:35:00,2026-08-08T08:55:00,DT-QAL,Sample audit in progress
DT-9260,MC-04,2026-08-08T09:46:00,2026-08-08T10:31:00,DT-CHG,Machine reset for changeover
DT-9112,MC-02,2026-08-08T10:05:00,2026-08-08T10:20:00,DT-PWR,Voltage dip
DT-9184,MC-03,2026-08-08T10:50:00,2026-08-08T11:13:00,DT-BRK,Handover break
DT-9113,MC-02,2026-08-08T12:07:00,2026-08-08T12:21:00,DT-MAT,Awaiting blade sets
DT-9185,MC-03,2026-08-08T12:25:00,2026-08-08T13:43:00,DT-PWR,DG changeover
DT-9261,MC-04,2026-08-08T13:31:00,2026-08-08T13:38:00,DT-PCB,PCB connector fault
DT-9262,MC-04,2026-08-08T14:37:00,2026-08-08T14:45:00,DT-PWR,Voltage dip
DT-9186,MC-03,2026-08-08T15:31:00,2026-08-08T15:44:00,DT-MTR,Motor RPM out of band
DT-9187,MC-03,2026-08-08T16:26:00,2026-08-08T16:43:00,DT-BRK,Shift break
DT-9031,MC-01,2026-08-08T16:32:00,2026-08-08T16:37:00,DT-MAT,Awaiting blade sets
DT-9032,MC-01,2026-08-08T17:07:00,2026-08-08T17:35:00,DT-BRK,Tea break
DT-9263,MC-04,2026-08-08T17:14:00,2026-08-08T17:28:00,DT-PWR,Feeder trip
DT-9188,MC-03,2026-08-08T17:34:00,2026-08-08T17:55:00,DT-BRK,Tea break
DT-9264,MC-04,2026-08-08T19:42:00,2026-08-08T20:25:00,DT-CHG,Fixture swap for new model
DT-9033,MC-01,2026-08-08T19:55:00,2026-08-08T20:08:00,DT-BLD,Blade pitch out of tolerance
DT-9034,MC-01,2026-08-08T20:31:00,2026-08-08T21:00:00,DT-QAL,Awaiting inspection sign-off
DT-9189,MC-03,2026-08-09T06:58:00,2026-08-09T07:19:00,DT-PWR,Feeder trip
DT-9114,MC-02,2026-08-09T07:36:00,2026-08-09T07:57:00,DT-MTR,Motor rework batch
DT-9190,MC-03,2026-08-09T07:36:00,2026-08-09T07:56:00,DT-MTR,Winding resistance fail
DT-9035,MC-01,2026-08-09T08:50:00,2026-08-09T09:27:00,DT-MTR,Winding resistance fail
DT-9191,MC-03,2026-08-09T09:48:00,2026-08-09T10:14:00,DT-BRK,Tea break
DT-9115,MC-02,2026-08-09T10:34:00,2026-08-09T10:45:00,DT-PWR,Voltage dip
DT-9116,MC-02,2026-08-09T11:38:00,2026-08-09T11:57:00,DT-PMT,Conveyor lubrication
DT-9265,MC-04,2026-08-09T12:04:00,2026-08-09T12:19:00,DT-OPR,Awaiting relief operator
DT-9117,MC-02,2026-08-09T12:07:00,2026-08-09T12:39:00,DT-BRK,Shift break
DT-9192,MC-03,2026-08-09T12:19:00,2026-08-09T12:57:00,DT-PMT,Torque gun calibration
DT-9118,MC-02,2026-08-09T13:40:00,2026-08-09T15:03:00,DT-QAL,Awaiting inspection sign-off
DT-9036,MC-01,2026-08-09T15:19:00,2026-08-09T15:29:00,DT-QAL,QA hold on lot
DT-9266,MC-04,2026-08-09T16:09:00,2026-08-09T17:21:00,DT-MTR,Motor RPM out of band
DT-9037,MC-01,2026-08-09T16:18:00,2026-08-09T16:47:00,DT-MAT,Awaiting blade sets
DT-9038,MC-01,2026-08-09T16:51:00,2026-08-09T17:32:00,DT-BRK,Tea break
DT-9193,MC-03,2026-08-09T17:36:00,2026-08-09T18:16:00,DT-PMT,Conveyor lubrication
DT-9119,MC-02,2026-08-09T18:19:00,2026-08-09T18:31:00,DT-PMT,Torque gun calibration
DT-9267,MC-04,2026-08-09T18:44:00,2026-08-09T19:03:00,DT-PMT,Conveyor lubrication
DT-9268,MC-04,2026-08-09T19:03:00,2026-08-09T19:18:00,DT-PMT,Weekly PM
DT-9039,MC-01,2026-08-09T19:30:00,2026-08-09T19:56:00,DT-OPR,Operator shortage
DT-9120,MC-02,2026-08-09T20:44:00,2026-08-09T21:53:00,DT-QAL,Sample audit in progress
DT-9040,MC-01,2026-08-10T06:41:00,2026-08-10T06:46:00,DT-MTR,Winding resistance fail
DT-9041,MC-01,2026-08-10T07:05:00,2026-08-10T07:38:00,DT-PMT,Weekly PM
DT-9269,MC-04,2026-08-10T07:19:00,2026-08-10T07:44:00,DT-CHG,Machine reset for changeover
DT-9121,MC-02,2026-08-10T07:39:00,2026-08-10T08:01:00,DT-CHG,Machine reset for changeover
DT-9042,MC-01,2026-08-10T07:41:00,2026-08-10T07:56:00,DT-PMT,Weekly PM
DT-9270,MC-04,2026-08-10T07:45:00,2026-08-10T08:22:00,DT-PMT,Weekly PM
DT-9194,MC-03,2026-08-10T07:59:00,2026-08-10T08:41:00,DT-OPR,Operator shortage
DT-9271,MC-04,2026-08-10T08:42:00,2026-08-10T09:01:00,DT-PMT,Conveyor lubrication
DT-9195,MC-03,2026-08-10T09:13:00,2026-08-10T09:18:00,DT-QAL,Awaiting inspection sign-off
DT-9122,MC-02,2026-08-10T10:04:00,2026-08-10T10:40:00,DT-PMT,Conveyor lubrication
DT-9043,MC-01,2026-08-10T10:14:00,2026-08-10T10:43:00,DT-PMT,Weekly PM
DT-9044,MC-01,2026-08-10T11:01:00,2026-08-10T11:15:00,DT-PCB,Controller PCB reject batch
DT-9272,MC-04,2026-08-10T11:33:00,2026-08-10T12:46:00,DT-PWR,Feeder trip
DT-9196,MC-03,2026-08-10T11:47:00,2026-08-10T12:46:00,DT-QAL,Awaiting inspection sign-off
DT-9123,MC-02,2026-08-10T12:07:00,2026-08-10T12:35:00,DT-CHG,Machine reset for changeover
DT-9273,MC-04,2026-08-10T15:25:00,2026-08-10T15:30:00,DT-MAT,Canopy stock out
DT-9124,MC-02,2026-08-10T15:43:00,2026-08-10T15:58:00,DT-BLD,Blade balancing fault
DT-9274,MC-04,2026-08-10T16:20:00,2026-08-10T17:02:00,DT-CHG,Machine reset for changeover
DT-9197,MC-03,2026-08-10T16:27:00,2026-08-10T17:07:00,DT-BLD,Blade balancing fault
DT-9125,MC-02,2026-08-10T17:52:00,2026-08-10T18:00:00,DT-MTR,Motor rework batch
DT-9126,MC-02,2026-08-10T18:02:00,2026-08-10T18:43:00,DT-CHG,Product changeover
DT-9198,MC-03,2026-08-10T19:14:00,2026-08-10T19:30:00,DT-BRK,Handover break
DT-9127,MC-02,2026-08-10T20:07:00,2026-08-10T20:47:00,DT-CHG,Product changeover
DT-9199,MC-03,2026-08-11T07:00:00,2026-08-11T07:27:00,DT-PMT,Torque gun calibration
DT-9128,MC-02,2026-08-11T07:24:00,2026-08-11T07:59:00,DT-BRK,Handover break
DT-9129,MC-02,2026-08-11T08:06:00,2026-08-11T09:07:00,DT-MAT,Awaiting blade sets
DT-9275,MC-04,2026-08-11T08:30:00,2026-08-11T09:06:00,DT-PWR,Voltage dip
DT-9200,MC-03,2026-08-11T09:28:00,2026-08-11T10:06:00,DT-BRK,Shift break
DT-9276,MC-04,2026-08-11T09:32:00,2026-08-11T10:02:00,DT-BRK,Shift break
DT-9277,MC-04,2026-08-11T10:48:00,2026-08-11T11:47:00,DT-MTR,Winding resistance fail
DT-9130,MC-02,2026-08-11T10:59:00,2026-08-11T11:22:00,DT-BLD,Blade balancing fault
DT-9045,MC-01,2026-08-11T12:12:00,2026-08-11T12:33:00,DT-BRK,Handover break
DT-9201,MC-03,2026-08-11T12:21:00,2026-08-11T13:24:00,DT-MAT,Canopy stock out
DT-9046,MC-01,2026-08-11T14:08:00,2026-08-11T14:35:00,DT-BRK,Tea break
DT-9202,MC-03,2026-08-11T14:51:00,2026-08-11T16:00:00,DT-QAL,QA hold on lot
DT-9047,MC-01,2026-08-11T15:02:00,2026-08-11T15:18:00,DT-BRK,Shift break
DT-9131,MC-02,2026-08-11T16:16:00,2026-08-11T17:16:00,DT-BLD,Blade pitch out of tolerance
DT-9048,MC-01,2026-08-11T16:42:00,2026-08-11T17:07:00,DT-MTR,Motor rework batch
DT-9278,MC-04,2026-08-11T16:51:00,2026-08-11T17:19:00,DT-PMT,Torque gun calibration
DT-9203,MC-03,2026-08-11T16:57:00,2026-08-11T17:13:00,DT-PWR,Voltage dip
DT-9204,MC-03,2026-08-11T17:47:00,2026-08-11T17:54:00,DT-PWR,Voltage dip
DT-9049,MC-01,2026-08-11T18:04:00,2026-08-11T18:35:00,DT-CHG,Product changeover
DT-9279,MC-04,2026-08-11T19:50:00,2026-08-11T20:33:00,DT-BRK,Handover break
DT-9132,MC-02,2026-08-11T20:14:00,2026-08-11T20:19:00,DT-MAT,Awaiting blade sets
DT-9133,MC-02,2026-08-11T20:50:00,2026-08-11T21:23:00,DT-MTR,Motor RPM out of band
DT-9280,MC-04,2026-08-12T06:50:00,2026-08-12T07:44:00,DT-PCB,PCB connector fault
DT-9050,MC-01,2026-08-12T08:00:00,2026-08-12T08:11:00,DT-MTR,Motor rework batch
DT-9205,MC-03,2026-08-12T08:06:00,2026-08-12T08:14:00,DT-PCB,Firmware flash failures
DT-9051,MC-01,2026-08-12T08:22:00,2026-08-12T08:54:00,DT-BRK,Shift break
DT-9052,MC-01,2026-08-12T09:18:00,2026-08-12T09:24:00,DT-MAT,Canopy stock out
DT-9053,MC-01,2026-08-12T11:18:00,2026-08-12T12:00:00,DT-CHG,Fixture swap for new model
DT-9134,MC-02,2026-08-12T11:42:00,2026-08-12T11:51:00,DT-OPR,Operator shortage
DT-9135,MC-02,2026-08-12T11:52:00,2026-08-12T12:30:00,DT-BRK,Handover break
DT-9206,MC-03,2026-08-12T11:58:00,2026-08-12T12:22:00,DT-OPR,Awaiting relief operator
DT-9136,MC-02,2026-08-12T12:59:00,2026-08-12T13:40:00,DT-BRK,Handover break
DT-9207,MC-03,2026-08-12T13:16:00,2026-08-12T13:57:00,DT-CHG,Fixture swap for new model
DT-9054,MC-01,2026-08-12T14:19:00,2026-08-12T14:52:00,DT-CHG,Product changeover
DT-9281,MC-04,2026-08-12T14:44:00,2026-08-12T15:04:00,DT-CHG,Machine reset for changeover
DT-9137,MC-02,2026-08-12T14:49:00,2026-08-12T15:27:00,DT-CHG,Fixture swap for new model
DT-9208,MC-03,2026-08-12T16:01:00,2026-08-12T16:31:00,DT-MTR,Motor rework batch
DT-9282,MC-04,2026-08-12T16:38:00,2026-08-12T17:18:00,DT-BLD,Blade balancing fault
DT-9055,MC-01,2026-08-12T17:20:00,2026-08-12T18:01:00,DT-BLD,Rework: blade seating
DT-9138,MC-02,2026-08-12T18:08:00,2026-08-12T18:55:00,DT-MTR,Motor RPM out of band
DT-9209,MC-03,2026-08-12T19:23:00,2026-08-12T19:53:00,DT-BRK,Tea break
DT-9283,MC-04,2026-08-12T20:08:00,2026-08-12T20:23:00,DT-PCB,Controller PCB reject batch
DT-9284,MC-04,2026-08-12T20:33:00,2026-08-12T21:06:00,DT-PMT,Torque gun calibration
DT-9285,MC-04,2026-08-13T06:30:00,2026-08-13T06:34:00,DT-PWR,Feeder trip
DT-9056,MC-01,2026-08-13T06:52:00,2026-08-13T07:03:00,DT-MTR,Motor rework batch
DT-9139,MC-02,2026-08-13T07:01:00,2026-08-13T07:35:00,DT-PMT,Torque gun calibration
DT-9210,MC-03,2026-08-13T07:25:00,2026-08-13T07:48:00,DT-PMT,Conveyor lubrication
DT-9286,MC-04,2026-08-13T07:25:00,2026-08-13T08:09:00,DT-PMT,Weekly PM
DT-9140,MC-02,2026-08-13T08:32:00,2026-08-13T09:03:00,DT-QAL,QA hold on lot
DT-9287,MC-04,2026-08-13T08:43:00,2026-08-13T09:24:00,DT-BRK,Handover break
DT-9057,MC-01,2026-08-13T10:58:00,2026-08-13T11:23:00,DT-PWR,DG changeover
DT-9058,MC-01,2026-08-13T11:47:00,2026-08-13T12:21:00,DT-OPR,Awaiting relief operator
DT-9211,MC-03,2026-08-13T12:07:00,2026-08-13T12:32:00,DT-CHG,Fixture swap for new model
DT-9141,MC-02,2026-08-13T12:15:00,2026-08-13T13:40:00,DT-MTR,Winding resistance fail
DT-9059,MC-01,2026-08-13T12:36:00,2026-08-13T12:49:00,DT-PCB,Firmware flash failures
DT-9212,MC-03,2026-08-13T13:17:00,2026-08-13T13:41:00,DT-CHG,Machine reset for changeover
DT-9288,MC-04,2026-08-13T14:52:00,2026-08-13T15:11:00,DT-PMT,Conveyor lubrication
DT-9060,MC-01,2026-08-13T15:23:00,2026-08-13T15:30:00,DT-BLD,Blade pitch out of tolerance
DT-9061,MC-01,2026-08-13T15:34:00,2026-08-13T16:10:00,DT-MAT,Awaiting blade sets
DT-9289,MC-04,2026-08-13T16:09:00,2026-08-13T16:34:00,DT-BRK,Shift break
DT-9213,MC-03,2026-08-13T16:30:00,2026-08-13T16:35:00,DT-MTR,Motor rework batch
DT-9062,MC-01,2026-08-13T16:46:00,2026-08-13T17:24:00,DT-CHG,Product changeover
DT-9142,MC-02,2026-08-13T18:03:00,2026-08-13T18:17:00,DT-CHG,Product changeover
DT-9214,MC-03,2026-08-13T19:04:00,2026-08-13T20:11:00,DT-MTR,Winding resistance fail
DT-9143,MC-02,2026-08-13T19:33:00,2026-08-13T20:18:00,DT-PMT,Conveyor lubrication
DT-9063,MC-01,2026-08-14T06:23:00,2026-08-14T07:50:00,DT-QAL,Awaiting inspection sign-off
DT-9290,MC-04,2026-08-14T06:51:00,2026-08-14T07:28:00,DT-BRK,Shift break
DT-9064,MC-01,2026-08-14T07:55:00,2026-08-14T07:59:00,DT-OPR,Awaiting relief operator
DT-9215,MC-03,2026-08-14T08:05:00,2026-08-14T09:33:00,DT-PWR,Feeder trip
DT-9065,MC-01,2026-08-14T08:36:00,2026-08-14T09:16:00,DT-PMT,Weekly PM
DT-9216,MC-03,2026-08-14T11:22:00,2026-08-14T12:03:00,DT-PMT,Conveyor lubrication
DT-9144,MC-02,2026-08-14T11:24:00,2026-08-14T11:35:00,DT-PCB,Controller PCB reject batch
DT-9066,MC-01,2026-08-14T13:34:00,2026-08-14T13:49:00,DT-PWR,Feeder trip
DT-9217,MC-03,2026-08-14T14:08:00,2026-08-14T14:16:00,DT-PCB,PCB connector fault
DT-9218,MC-03,2026-08-14T14:31:00,2026-08-14T14:56:00,DT-PMT,Weekly PM
DT-9291,MC-04,2026-08-14T15:44:00,2026-08-14T16:25:00,DT-BRK,Handover break
DT-9145,MC-02,2026-08-14T15:53:00,2026-08-14T16:01:00,DT-BLD,Rework: blade seating
DT-9219,MC-03,2026-08-14T16:24:00,2026-08-14T16:56:00,DT-OPR,Operator shortage
DT-9067,MC-01,2026-08-14T16:29:00,2026-08-14T16:51:00,DT-BRK,Tea break
DT-9292,MC-04,2026-08-14T16:48:00,2026-08-14T17:05:00,DT-PMT,Conveyor lubrication
DT-9068,MC-01,2026-08-14T17:46:00,2026-08-14T18:01:00,DT-OPR,Absenteeism
DT-9146,MC-02,2026-08-14T18:00:00,2026-08-14T19:04:00,DT-BLD,Blade pitch out of tolerance
DT-9220,MC-03,2026-08-14T18:13:00,2026-08-14T18:36:00,DT-BRK,Handover break
DT-9069,MC-01,2026-08-14T19:51:00,2026-08-14T20:06:00,DT-QAL,Sample audit in progress
DT-9147,MC-02,2026-08-14T19:58:00,2026-08-14T20:12:00,DT-QAL,Awaiting inspection sign-off
DT-9293,MC-04,2026-08-14T21:28:00,2026-08-14T21:32:00,DT-MTR,Motor RPM out of band
DT-9294,MC-04,2026-08-14T21:39:00,2026-08-14T21:59:00,DT-BRK,Shift break
DT-9295,MC-04,2026-08-15T06:14:00,2026-08-15T06:47:00,DT-PMT,Torque gun calibration
DT-9070,MC-01,2026-08-15T06:33:00,2026-08-15T07:19:00,DT-MAT,Motor stator shortage
DT-9148,MC-02,2026-08-15T07:12:00,2026-08-15T07:31:00,DT-BRK,Handover break
DT-9221,MC-03,2026-08-15T07:40:00,2026-08-15T08:12:00,DT-PCB,Controller PCB reject batch
DT-9296,MC-04,2026-08-15T07:44:00,2026-08-15T08:32:00,DT-BLD,Blade pitch out of tolerance
DT-9222,MC-03,2026-08-15T08:21:00,2026-08-15T08:42:00,DT-BRK,Tea break
DT-9071,MC-01,2026-08-15T08:28:00,2026-08-15T08:54:00,DT-BLD,Blade pitch out of tolerance
DT-9149,MC-02,2026-08-15T09:42:00,2026-08-15T10:04:00,DT-PMT,Weekly PM
DT-9223,MC-03,2026-08-15T10:30:00,2026-08-15T11:09:00,DT-CHG,Product changeover
DT-9150,MC-02,2026-08-15T10:54:00,2026-08-15T11:08:00,DT-BLD,Blade pitch out of tolerance
